FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
1077,42,003,414200,2,420034142002,Block Group 2,G5030,S,1401253,0,+40.5611840,-079.9629969,0.000148997893914,0.064227445603566
1078,42,003,419000,2,420034190002,Block Group 2,G5030,S,1237346,0,+40.5474270,-079.8127236,0.000131542943004,0.046860791584148
1079,42,003,419000,3,420034190003,Block Group 3,G5030,S,6821618,19290,+40.5451962,-079.8475852,0.000727230582399,0.13408815189242
1080,42,003,420000,1,420034200001,Block Group 1,G5030,S,767989,373437,+40.4932931,-079.8593574,0.000121247002991,0.047499475565692
1081,42,003,421100,1,420034211001,Block Group 1,G5030,S,2478246,208540,+40.5198382,-079.8593111,0.000285513812179,0.098916096816373
1082,42,003,418000,1,420034180001,Block Group 1,G5030,S,1198395,223556,+40.5430237,-079.8009841,0.000151157893643,0.049280864053148
1083,42,003,402000,3,420034020003,Block Group 3,G5030,S,457195,0,+40.6088329,-079.7454769,4.8648928553e-05,0.030047905073615
1084,42,003,403500,1,420034035001,Block Group 1,G5030,S,1759258,0,+40.6068094,-079.7654700,0.000187190951625,0.078341569931472
1085,42,003,403500,2,420034035002,Block Group 2,G5030,S,302539,0,+40.6071710,-079.7548156,3.2191559278e-05,0.030817647465771
1086,42,003,403500,3,420034035003,Block Group 3,G5030,S,346917,0,+40.6040681,-079.7532857,3.6911811033e-05,0.033080658252819
1087,42,003,403500,4,420034035004,Block Group 4,G5030,S,384908,283896,+40.6011805,-079.7502407,7.1156573417e-05,0.040920199707449
1088,42,003,403500,5,420034035005,Block Group 5,G5030,S,378642,147657,+40.5968874,-079.7628798,5.5992608592e-05,0.031522771815252
1089,42,003,404000,1,420034040001,Block Group 1,G5030,S,5887262,654837,+40.5916620,-079.7824915,0.000695909527733,0.13596345729014
1090,42,003,405000,1,420034050001,Block Group 1,G5030,S,13729572,0,+40.6240042,-079.7939081,0.001461238429527,0.169379702229587
1091,42,003,405000,2,420034050002,Block Group 2,G5030,S,10471649,0,+40.5835083,-079.7997242,0.001113836931893,0.177462865008781
1092,42,003,140100,2,420031401002,Block Group 2,G5030,S,545737,0,+40.4403036,-079.9337536,5.792634321e-05,0.041463486498496
1093,42,003,140100,4,420031401004,Block Group 4,G5030,S,191077,0,+40.4461744,-079.9428550,2.0283426398e-05,0.026232339022236
1094,42,003,140200,1,420031402001,Block Group 1,G5030,S,423240,0,+40.4483633,-079.9235981,4.4929453106e-05,0.029953641244094
1095,42,003,140200,2,420031402002,Block Group 2,G5030,S,336252,0,+40.4470935,-079.9297263,3.5694627205e-05,0.029181857502713
1096,42,003,140300,3,420031403003,Block Group 3,G5030,S,255285,0,+40.4397145,-079.9234589,2.7096628641e-05,0.02298940501896
1097,42,003,140300,4,420031403004,Block Group 4,G5030,S,244015,0,+40.4427330,-079.9230623,2.5901648595e-05,0.026249919350166
1098,42,003,140400,1,420031404001,Block Group 1,G5030,S,210441,0,+40.4515018,-079.9120086,2.234061572e-05,0.01925953411187
1099,42,003,140400,2,420031404002,Block Group 2,G5030,S,199424,0,+40.4473155,-079.9143900,2.1169765365e-05,0.021595569040322
1100,42,003,488500,3,420034885003,Block Group 3,G5030,S,1083489,0,+40.3478361,-079.9569124,0.000114849764739,0.055572713915401
